ott,lbs
160,121.89238589348301
165,121.89238589348301
170,131.10266423662696
175,135.50075867380428
180,142.0994108784203
185,152.41194331967245
190,164.28628264804243
195,184.61756914965127
200,197.93132286972946
202,200.03352294713437
204,200.03352294713437
206,212.04079330006172
208,212.04079330006172
210,220.33419212539874
212,221.02592729293912
214,231.26404147470998
216,242.24954875152508
218,242.24954875152508
220,254.85634307139998
222,254.85634307139998
224,260.4474676254044
226,275.9519900559997
228,275.9519900559997
230,285.8875755266371
232,286.60673621694207
234,298.6798105395612
236,306.42746736256163
238,306.42746736256163
240,306.42746736256163
242,325.0732022149091
244,325.0732022149091
246,346.7549543586181
248,347.5377973112532
250,347.5377973112532
252,369.74318114879617
254,369.74318114879617
256,379.3252464603132
258,384.80877903128425
260,411.86874667331466
262,428.91716574345054
264,428.91716574345054
266,433.3684820079007
268,434.89779451494354
270,434.89779451494354
272,467.2188642805448
274,467.2188642805448
276,480.2159651178903
278,483.45644016213186
280,507.44515101762573
282,507.44515101762573
284,508.9064485838959
286,546.911052930374
288,548.6902923771671
290,548.985826802458
292,555.615252411209
294,555.615252411209
296,585.2897022743016
297,585.2897022743016
298,585.2897022743016
299,619.9517434222143
300,619.9517434222143
301,619.9517434222143
302,638.2267889454997
303,638.2267889454997
304,638.2267889454997
305,640.6520669327602
306,640.6520669327602
307,640.6520669327602
308,662.5217187710995
309,662.5217187710995
310,683.3018556785714
311,683.3018556785714
312,685.8851019958232
313,685.8851019958232
314,688.1853734322007
315,695.2542352258419
316,702.9637323279761
317,708.067924873537
318,713.0828434944282
319,723.1744726057601
320,737.2859831574277
321,737.2859831574277
322,743.8061210672813
323,754.3747874284869
324,754.3747874284869
325,778.5231416851052
326,778.5231416851052
327,778.5231416851052
328,778.5231416851052
329,802.234713665903
330,802.234713665903
331,832.4704623003411
332,832.4704623003411
333,832.4704623003411
334,833.192331299223
335,837.2098229548758
336,837.2098229548758
337,837.2098229548758
338,875.2630124184474
339,875.2630124184474
340,875.2630124184474
341,875.2630124184474
342,877.293580870049
343,918.3934265732212
344,918.3934265732212
345,929.8503004088473
346,929.8503004088473
347,946.5233547127548
348,948.4509463286486
349,948.4509463286486
350,948.4509463286486
351,948.4509463286486
352,948.4509463286486
353,982.4429188983804
354,988.1682107004291
355,988.1682107004291
356,1014.452882237164
357,1014.452882237164
358,1014.452882237164
359,1046.4830014029035
360,1046.4830014029035
361,1046.4830014029035
362,1074.3960240187453
363,1074.3960240187453
364,1075.5573398310776
365,1075.5573398310776
366,1076.7760401286178
367,1081.9027337657442
368,1081.9027337657442
369,1103.938738803879
370,1103.938738803879
371,1122.6929599397492
372,1141.3508053282394
373,1156.828766979296
374,1159.5958057834393
375,1159.5958057834393
376,1166.2561899786972
377,1180.9399698845193
378,1180.9399698845193
379,1180.9399698845193
380,1197.5980839388237
381,1197.5980839388237
382,1228.4554535397824
383,1228.4554535397824
384,1242.8543074419106
385,1244.9409574174235
386,1244.9409574174235
387,1285.6816309199705
388,1285.6816309199705
389,1296.936507279839
390,1308.507750355813
391,1308.507750355813
392,1308.507750355813
393,1308.507750355813
394,1356.807137528452
395,1356.807137528452
396,1356.807137528452
397,1369.7179202783589
398,1369.7179202783589
399,1369.7179202783589
400,1366.7331633075933
401,1415.6520358026328
402,1415.6520358026328
403,1415.6520358026328
404,1418.9780270891827
405,1452.4802154801853
406,1452.4802154801853
407,1473.513417131667
408,1473.513417131667
409,1473.513417131667
410,1487.904285727083
411,1492.18989862543
412,1519.2547483202368
413,1519.2547483202368
414,1561.9675364839034
415,1561.9675364839034
416,1560.5243012316928
417,1572.916847137451
418,1572.916847137451
419,1612.977204529307
420,1612.1017784712753
421,1612.1017784712753
422,1612.1017784712753
423,1628.3104004384952
424,1628.3104004384952
425,1632.9929027429037
426,1677.1183124097795
427,1671.512856602999
428,1672.4879396448855
429,1699.6532536342806
430,1701.1459880601885
431,1703.3720821135967
432,1706.1724968941426
433,1732.876410262307
434,1772.304060021174
435,1772.304060021174
436,1770.8181775613666
437,1780.0448907757093
438,1822.4724874129056
439,1822.4724874129056
440,1822.4724874129056
441,1822.4724874129056
442,1819.3219531856998
443,1819.3219531856998
444,1888.9845567321086
445,1892.4991026210794
446,1892.4991026210794
447,1892.4991026210794
448,1903.9730564653687
449,1920.8062861003805
450,1923.1745503027037
451,1954.5010463230574
452,1954.5010463230574
453,1952.4784980878078
454,1957.2452282992917
455,1973.634669956703
456,2001.85488990221
457,2012.0098586614977
458,2010.6851083285865
459,2010.6851083285865
460,2005.432203094625
461,2060.907576063903
462,2055.2430144086597
463,2106.674357862914
464,2106.674357862914
465,2106.674357862914
466,2106.674357862914
467,2132.3840717999833
468,2140.997564012723
469,2140.997564012723
470,2146.998792535317
471,2150.3273345959083
472,2150.3273345959083
473,2150.3273345959083
474,2158.7740699474284
475,2187.207357808298
476,2216.5665463693026
477,2216.5665463693026
478,2256.2468756925787
479,2259.681275128947
480,2289.039773860484
481,2289.039773860484
482,2300.970410352454
483,2279.27464512349
484,2295.862935905499
485,2383.710859276845
486,2383.710859276845
487,2352.124464905235
488,2446.770015203275
489,2418.272888155279
490,2453.8168008235325
491,2517.9946870002777
492,2442.6356939027046
493,2377.456642255839
494,2265.07399252038
495,2234.847232113307
496,2223.0609603983403
497,2143.829332632097
498,2143.829332632097
499,2143.829332632097
500,2143.829332632097
501,2143.829332632097
502,2143.829332632097
503,2143.829332632097
504,2143.829332632097
505,2143.829332632097
506,2143.829332632097
507,2143.829332632097
508,2143.829332632097
509,2143.829332632097
510,2143.829332632097
511,2143.829332632097
512,2143.829332632097
513,2143.829332632097
514,2143.829332632097
515,2143.829332632097
516,2143.829332632097
517,2143.829332632097
518,2143.829332632097
519,2143.829332632097
520,2143.829332632097
521,2143.829332632097
522,2143.829332632097
523,2143.829332632097
524,2143.829332632097
525,2143.829332632097
526,2143.829332632097
527,2143.829332632097
528,2143.829332632097
529,2143.829332632097
530,2143.829332632097
531,2143.829332632097
532,2143.829332632097
533,2143.829332632097
534,2143.829332632097
535,2143.829332632097
536,2143.829332632097
537,2143.829332632097
538,2143.829332632097
539,2143.829332632097
