OTT,RMSE_MORE,R_2_MORE,RMSE_LESS,R_2_LESS,RMSE_SUM,R_2_PRODUCT,final_score
250,88.87679674933155,0.9520693087931644,23.131837791089904,0.8963645795462011,112.00863454042145,0.4267006028376136,64.21448265900567
251,89.81568387987225,0.9503472597138214,32.154018508770925,0.831887114428098,121.96970238864319,0.39529081979399056,73.75619874140736
252,93.28631833196995,0.9504123359099814,30.464468519074096,0.8330174869420622,123.75078685104404,0.3958550478092339,74.76341320569368
253,89.90102420537987,0.9529858516434928,24.554851308020524,0.8884733459309356,114.4558755134004,0.42335126411726814,66.00083592915367
254,89.30507623432683,0.9524496125851227,30.007118921428194,0.8534476442161956,119.31219515575503,0.40643293904770056,70.8197890143687
255,87.26830594460968,0.9528447446891012,28.18882407971694,0.8750664141755621,115.45713002432662,0.4169012170005604,67.32291200579292
256,87.67025760098097,0.9519868814231334,23.21227746241236,0.9094607075835192,110.88253506339333,0.4328973313946553,62.88178153617606
257,89.72829821313782,0.9504644833284657,25.213328424732598,0.9014447651139575,114.94162663787041,0.42839561646159385,65.70113763724156
258,90.3108260326015,0.9494863249915567,28.782000964857946,0.8893669301637986,119.09282699745944,0.42222086904512385,68.80935008555151
259,89.82901357879294,0.9500857478910094,34.32259383718151,0.8553666363128881,124.15160741597444,0.40633582519117367,73.70436156779382
260,88.01868141766295,0.9514867805264632,29.16310754367088,0.8773105556783034,117.18178896133382,0.4173746980721157,68.27307517404674
261,87.99255865229483,0.9502943718958576,25.23882696156676,0.8979002578384608,113.23138561386159,0.4266347807738644,64.92293823577084
262,88.68180512120065,0.9499579612046127,28.849131747249867,0.8874000565594186,117.53093686845052,0.42149637425102165,67.99207311607292
263,90.8392819675622,0.9486444018661094,28.912371308393574,0.8948184473981727,119.75165327595577,0.42443225540540014,68.92518898751639
264,89.35275139313813,0.9483252880023518,27.909430729826727,0.9000517094837707,117.26218212296486,0.426770898306603,67.21809532095466
265,89.62694305972505,0.9492242073992322,31.699066565984282,0.882800844667471,121.32600962570933,0.41898796603542643,70.4918716254388
266,90.9895855450219,0.9495437744579445,35.62662325094185,0.8460698776537805,126.61620879596374,0.40169019254127103,75.75571950586729
267,89.11376414218276,0.9486482207564023,32.36713257021436,0.8801756293039692,121.48089671239711,0.41748852234617856,70.7640166506497
268,90.97194077944899,0.9475400129385328,32.95249689760239,0.8779206232607519,123.92443767705137,0.41593245936174883,72.38024153901362
269,91.51988981956404,0.9472794092183857,30.66336338593595,0.9113857700905367,122.1832532055,0.43166848693070353,69.44059316601079
270,87.85673340381152,0.9505673826003883,30.011877737942278,0.9051825491688937,117.8686111417538,0.43021850326951133,67.15935367389243
271,90.1762348383528,0.9466932049908805,33.43753232651769,0.8801732018297487,123.6137671648705,0.41662699469364495,72.11293484821053
272,91.49740527501754,0.9460844159941054,33.669502670208146,0.8869732094120701,125.16690794522569,0.41957576541451785,72.64990673953913
273,89.80314365768321,0.9483468733250137,30.261498538498753,0.9107320374572425,120.06464219618196,0.4318449400797476,68.21533398127542
274,87.06333821626197,0.9502049960528253,30.24988598739448,0.9083940288358717,117.31322420365645,0.43158027229219975,66.68315095836653
275,90.09258814505971,0.944758567639222,30.495782544376915,0.9053820089399094,120.58837068943663,0.427683704966195,69.01468953714145
276,88.85877146973192,0.9469235734870854,32.30458526666521,0.9059363128824963,121.16335673639713,0.42892622537320385,69.19321547790737
